Epoch	Train Loss	Test Loss	Test Acc.	
1.000000	1.794245	1.941299	33.880000	
5.000000	0.943037	1.089395	65.670000	
10.000000	0.692111	0.850976	74.600000	
15.000000	0.595444	0.753080	78.270000	
20.000000	0.549570	0.773260	78.470000	
25.000000	0.528345	0.851031	77.080000	
30.000000	0.525891	0.800302	78.980000	
35.000000	0.515855	0.888865	77.760000	
40.000000	0.502786	0.691894	80.660000	
45.000000	0.495988	0.671371	80.960000	
50.000000	0.490667	0.599250	83.280000	
55.000000	0.498642	0.724157	80.180000	
60.000000	0.487139	0.707567	80.760000	
65.000000	0.482879	0.719110	80.510000	
70.000000	0.481640	0.615796	81.880000	
75.000000	0.471558	0.811542	79.670000	
80.000000	0.462514	0.856771	78.710000	
85.000000	0.471919	0.713380	80.850000	
90.000000	0.474649	0.681977	80.900000	
95.000000	0.465414	0.656494	82.650000	
100.000000	0.469083	0.774816	79.060000	
105.000000	0.438987	0.634575	82.790000	
110.000000	0.450718	0.774816	79.700000	
115.000000	0.456266	0.585481	83.540000	
120.000000	0.448604	0.659423	82.110000	
125.000000	0.448693	0.617001	83.700000	
130.000000	0.435200	0.628450	83.540000	
135.000000	0.442312	0.605825	83.210000	
140.000000	0.435745	0.721419	81.990000	
145.000000	0.435136	0.890393	78.760000	
150.000000	0.416840	0.621646	82.800000	
155.000000	0.423010	0.592551	83.140000	
160.000000	0.414711	0.631919	83.030000	
165.000000	0.414362	0.746080	81.160000	
170.000000	0.413758	0.638975	82.010000	
175.000000	0.412879	0.540249	85.060000	
180.000000	0.414464	0.537895	85.320000	
185.000000	0.409001	0.525777	85.240000	
190.000000	0.406030	0.648237	83.280000	
195.000000	0.398579	0.655703	83.400000	
200.000000	0.387585	0.552643	84.920000	
205.000000	0.397865	0.607327	83.830000	
210.000000	0.382408	0.525040	84.970000	
215.000000	0.378087	0.531890	85.540000	
220.000000	0.381683	0.535838	85.790000	
225.000000	0.372412	0.617507	84.030000	
230.000000	0.361229	0.539626	84.980000	
235.000000	0.365269	0.529856	85.310000	
240.000000	0.363372	0.494897	86.920000	
245.000000	0.354979	0.531109	85.670000	
250.000000	0.354875	0.477822	86.810000	
255.000000	0.340757	0.483871	87.080000	
260.000000	0.346912	0.497749	86.710000	
265.000000	0.333527	0.475264	86.870000	
270.000000	0.332962	0.472510	87.130000	
275.000000	0.328388	0.453478	87.510000	
280.000000	0.325408	0.448956	87.780000	
285.000000	0.322508	0.474326	87.430000	
290.000000	0.315396	0.442795	87.920000	
295.000000	0.310231	0.447613	87.720000	
300.000000	0.307976	0.423393	88.280000	
305.000000	0.305869	0.437268	88.510000	
310.000000	0.293453	0.410765	89.170000	
315.000000	0.300252	0.419807	88.910000	
320.000000	0.293805	0.398075	88.980000	
325.000000	0.284415	0.360334	89.540000	
330.000000	0.273233	0.410803	88.580000	
335.000000	0.272540	0.410796	89.220000	
340.000000	0.271183	0.357587	89.810000	
345.000000	0.270813	0.373295	89.870000	
350.000000	0.259720	0.352121	90.420000	
355.000000	0.253403	0.344959	90.400000	
360.000000	0.247668	0.340484	90.570000	
365.000000	0.242268	0.353070	90.130000	
370.000000	0.236394	0.334860	91.000000	
375.000000	0.233060	0.311507	91.410000	
380.000000	0.224485	0.311140	91.420000	
385.000000	0.226045	0.310838	91.730000	
390.000000	0.215472	0.298418	91.910000	
395.000000	0.210697	0.291325	92.110000	
400.000000	0.205718	0.251884	92.470000	
405.000000	0.200723	0.256424	92.310000	
410.000000	0.194727	0.253189	92.910000	
415.000000	0.186427	0.254562	92.860000	
420.000000	0.177624	0.240601	93.380000	
425.000000	0.175361	0.228745	93.770000	
430.000000	0.165485	0.224971	93.680000	
435.000000	0.160002	0.227021	93.450000	
440.000000	0.149100	0.208535	94.000000	
445.000000	0.145289	0.201565	94.220000	
450.000000	0.138890	0.194596	94.490000	
455.000000	0.129728	0.183521	94.690000	
460.000000	0.124603	0.184598	94.360000	
465.000000	0.113623	0.175800	94.690000	
470.000000	0.109201	0.177252	94.690000	
475.000000	0.100039	0.175040	94.710000	
480.000000	0.100957	0.174381	94.910000	
481.000000	0.098200	0.172684	94.960000	
482.000000	0.100540	0.171434	94.920000	
483.000000	0.099515	0.171377	94.960000	
484.000000	0.098808	0.173360	94.940000	
485.000000	0.100137	0.173454	94.840000	
486.000000	0.096034	0.172040	95.010000	
487.000000	0.096868	0.170961	94.930000	
488.000000	0.094368	0.171257	94.860000	
489.000000	0.094676	0.170272	94.960000	
490.000000	0.095505	0.171178	94.960000	
491.000000	0.094019	0.169651	94.920000	
492.000000	0.091064	0.168934	95.100000	
493.000000	0.096011	0.170666	95.040000	
494.000000	0.090558	0.175119	94.950000	
495.000000	0.092654	0.168224	95.060000	
496.000000	0.094469	0.168028	94.970000	
497.000000	0.096382	0.169893	94.980000	
498.000000	0.094670	0.171008	94.940000	
499.000000	0.092250	0.171059	95.020000	
500.000000	0.093810	0.171489	95.030000	
