Epoch	Train Loss	Test Loss	Test Acc.	
1.000000	1.740508	1.645984	41.190000	
5.000000	0.913357	1.110900	65.630000	
10.000000	0.681876	0.852114	74.200000	
15.000000	0.580342	0.787878	75.960000	
20.000000	0.537459	0.864350	78.050000	
25.000000	0.503745	0.944673	76.550000	
30.000000	0.477326	0.754235	80.460000	
35.000000	0.450749	0.980892	76.920000	
40.000000	0.414139	0.603632	84.160000	
45.000000	0.402605	0.647577	83.160000	
50.000000	0.373904	0.668382	83.050000	
55.000000	0.348451	0.614773	84.080000	
60.000000	0.320248	0.505359	87.050000	
65.000000	0.300070	0.494391	87.460000	
70.000000	0.271078	0.467287	88.110000	
75.000000	0.254316	0.382627	89.840000	
80.000000	0.220298	0.338113	90.840000	
81.000000	0.214605	0.351225	91.040000	
82.000000	0.207377	0.340867	91.050000	
83.000000	0.208582	0.303543	91.570000	
84.000000	0.203257	0.302565	91.750000	
85.000000	0.198657	0.308338	91.410000	
86.000000	0.187399	0.309288	91.600000	
87.000000	0.187503	0.291264	92.030000	
88.000000	0.183054	0.295391	92.000000	
89.000000	0.174572	0.275326	92.540000	
90.000000	0.169780	0.270606	92.510000	
91.000000	0.167244	0.259911	92.820000	
92.000000	0.167270	0.250110	92.930000	
93.000000	0.159290	0.254020	92.890000	
94.000000	0.158599	0.248861	93.370000	
95.000000	0.153685	0.256404	92.940000	
96.000000	0.153254	0.252402	92.880000	
97.000000	0.151445	0.244179	93.100000	
98.000000	0.149157	0.243097	93.140000	
99.000000	0.148941	0.244233	93.150000	
100.000000	0.149017	0.244907	93.060000	
